loc_name,obj_name,obj_desc,obj_type,col_name,col_desc,col_datatype,col_key_type,col_null,src_mapping_name,obj_join,src_obj_loc,src_obj_name,src_col_name,col_trans,hash_cols
,LoadAccountHierarchy,,Load Table,dss_load_date,Load date.,Timestamp,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,dss_record_source,Record source.,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,AccountTypeId,,int,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,ClassificationId,,int,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,Level1,,int,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L1Name,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L1State,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L1County,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,Level2,,int,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L2Name,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L2State,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L2County,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,Level3,,int,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L3Name,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L3State,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L3County,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,Level4,,int,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L4Name,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L4State,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L4County,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,Level5,,int,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L5Name,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L5State,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L5County,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,Level6,,int,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L6Name,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L6State,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L6County,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,Level,,int,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,ForceId,,int,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,SrcString,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L1AccountType,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L1DisplayName,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L1Address,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L1Address2,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L1City,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L1PostalCode,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L1Country,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L1FederalTaxId,,varchar,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,L1Segmentation,,VARCHAR,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,ChannelPartnerId,,number,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,ChannelPartnerFeeSharePartnerId,,number,,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadAccountHierarchy,,Load Table,Level1_LineOfBusiness,,varchar(50),,Y,LOADACCOUNTHIERARCHY,,,,,,
,LoadCustomerAccountClassification,,Load Table,dss_load_date,Load date.,TIMESTAMP,,Y,LOADCUSTOMERACCOUNTCLASSIFICATION,,,,,,
,LoadCustomerAccountClassification,,Load Table,dss_record_source,Record source.,VARCHAR(64),,Y,LOADCUSTOMERACCOUNTCLASSIFICATION,,,,,,
,LoadCustomerAccountClassification,,Load Table,ID,,int,,Y,LOADCUSTOMERACCOUNTCLASSIFICATION,,,,,,
,LoadCustomerAccountClassification,,Load Table,NAME,,varchar(255),,Y,LOADCUSTOMERACCOUNTCLASSIFICATION,,,,,,
,LoadCustomerAccountClassification,,Load Table,LINEOFBUSINESS,,varchar(255),,Y,LOADCUSTOMERACCOUNTCLASSIFICATION,,,,,,
,LoadCustomerAccountClassification,,Load Table,ISVISIBLEONREGISTRATION,,boolean,,Y,LOADCUSTOMERACCOUNTCLASSIFICATION,,,,,,
,LoadFeeSharePartner,,Load Table,dss_load_date,Load date.,TIMESTAMP,,Y,LOADFEESHAREPARTNER,,,,,,
,LoadFeeSharePartner,,Load Table,dss_record_source,Record source.,VARCHAR(64),,Y,LOADFEESHAREPARTNER,,,,,,
,LoadFeeSharePartner,,Load Table,Id,,number,,Y,LOADFEESHAREPARTNER,,,,,,
,LoadFeeSharePartner,,Load Table,ChannelPartnerId,,number,,Y,LOADFEESHAREPARTNER,,,,,,
,LoadFeeSharePartner,,Load Table,ExternalId,,varchar(255),,Y,LOADFEESHAREPARTNER,,,,,,
,LoadFeeSharePartner,,Load Table,Name,,varchar(500),,Y,LOADFEESHAREPARTNER,,,,,,
