script_name,target_obj,target_obj_type,line_count,sql_stmt_count,from_tables
custom_CURRENCY_SPOT_RATE,CURRENCY_SPOT_RATE,6,193,2,
custom_M_EQUIPMENT_DAILY_FACT,M_EQUIPMENT_DAILY_FACT,6,1942,23,
UPDATE_M_EQUIPMENT_DAILY_FACT,M_EQUIPMENT_DAILY_FACT,6,228,3,
custom_CURRENCY_CONV,CURRENCY_CONV,6,3296,45,
UPDATE_EQUIPMENT_HISTORY,EQUIPMENT_HISTORY,6,546,4,
upd_M3_FIN_ORGANIZATION,M3_FIN_ORGANIZATION,6,494,2,"CV_LU_CES_LOCATION, CV_MODEL_FIN_BENCHMARK, CV_MODEL_FIN_TRADENAMES"
upd_M_CUSTOMER,M_CUSTOMER,6,324,3,
upd_OPEN_ORDER_LINE_HIST,OPEN_ORDER_LINE_HIST,6,1189,2,"(, BUS_ITEM, OPEN_ORDER_LINE_HIST"
custom_ORDERS,ORDERS,6,69,1,
drv_ORDERS,ORDERS,6,572,2,
UPDATE_ORDER_LINE_DAYS,ORDER_LINE_DAYS,6,538,3,
UPDATE_ORDER_LINE_EQUIPMENT,ORDER_LINE_EQUIPMENT,6,376,5,
drv_SUSPEND_ORDER,SUSPEND_ORDER,6,410,3,"(SELECT, [TABLEOWNER].[SUSPEND_ORDER]"
upd_SUSPEND_ORDER,SUSPEND_ORDER,6,300,2,"(SELECT, SUSPEND_ORDER"
custom_GPS_SIM_CODE,GPS_SIM_CODE,6,1198,4,
UPDATE_GPS_SIM_CODE,GPS_SIM_CODE,6,4734,2,
UPDATE_FAST_LOCATION,FAST_LOCATION,6,214,2,
UPDATE_MAILING_ADDRESS,MAILING_ADDRESS,6,562,2,
upd_EQUIPMENT,EQUIPMENT,6,987,4,"(, EQUIPMENT"
UPDATE_STG_OPEN_ORDER_LINE,STG_OPEN_ORDER_LINE,7,426,3,"[TABLEOWNER].[EQUIPMENT], [TABLEOWNER].[ITEM], [TABLEOWNER].[ITEM_EQPT_CLASS], [TABLEOWNER].[LOCATION]"
UPDATE_STG_ORDERS,STG_ORDERS,7,598,4,
UPDATE_STG_ORDER_LINE_DAYS,STG_ORDER_LINE_DAYS,7,214,3,[TABLEOWNER].[ORDER_LINE]
upd_STG_ORDER_LINE,STG_ORDER_LINE,7,1358,5,
UPDATE_ETL_SUSPEND_ORDER,ETL_SUSPEND_ORDER,7,218,3,
UPDATE_ETL_GPS_SIM_CODE,ETL_GPS_SIM_CODE,7,1282,3,"[TABLEOWNER].[DV_EQUIPMENT], [TABLEOWNER].[DV_LOCATION]"
custom_EQUIPMENT_HISTORY_WRK,EQUIPMENT_HISTORY_WRK,7,234,3,
upd_EQUIPMENT_HISTORY_WRK,EQUIPMENT_HISTORY_WRK,7,394,3,
UPDATE_ELECTRONIC_ADDRESS,ELECTRONIC_ADDRESS,6,230,2,
